Cycle 222: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 223: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 224: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 225: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 226: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 227: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 228: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 229: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 230: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 231: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 232: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 233: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 234: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 235: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 236: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 237: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 238: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 239: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 240: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 241: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 242: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 243: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 244: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 245: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 246: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 247: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 248: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 249: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=1
Cycle 250: PC=00000028 | Inst=00000000 | PC_Branch=fffffffc | Taken=0
Cycle 251: PC=0000002c | Inst=0120b820 | PC_Branch=fffffffc | Taken=0
Cycle 252: PC=00000030 | Inst=201bdead | PC_Branch=00000028 | Taken=0
Cycle 253: PC=00000034 | Inst=xxxxxxxx | PC_Branch=fffee0ac | Taken=0
Cycle 254: PC=00000038 | Inst=xxxxxxxx | PC_Branch=ffff7ae4 | Taken=0
